timestamp,user_agent,type,device_token,device_type,page,activity,message
1660869252290,"NativeCore 2022.7.13; iOS 15.6; iPhone iPhone14,3",login,e8c05392a9c05ffc9b1d2377f622d04f686e2395102e146e7e8d391a5eee1f0d,iOS,,,
1660869252745,,open_page,,,assess,,
1660869259260,,open_page,,,assess,,
1660869260092,,open_page,,,assess,,
1660869263691,,open_page,,,assess,,
1660869278837,,open_page,,,assess,,
1660869283511,,open_page,,,portal,,
1660869295577,,open_page,,,manage,,
1660869296694,,open_page,,,assess,,
1660869299044,,open_page,,,learn,,
1660869300111,,open_page,,,feed,,
1660869303214,,open_page,,,,,
1660869308650,,open_page,,,feed,,
1660869343476,"NativeCore 2022.7.13; iOS 15.6; iPhone iPhone14,3",login,e8c05392a9c05ffc9b1d2377f622d04f686e2395102e146e7e8d391a5eee1f0d,iOS,,,
1660869343985,,open_page,,,assess,,
1660869949123,"NativeCore 2022.7.13; iOS 15.6; iPhone iPhone14,3",login,e8c05392a9c05ffc9b1d2377f622d04f686e2395102e146e7e8d391a5eee1f0d,iOS,,,
1660869949546,,open_page,,,assess,,
1660869957723,"NativeCore 2022.7.13; iOS 15.6; iPhone iPhone14,3",login,e8c05392a9c05ffc9b1d2377f622d04f686e2395102e146e7e8d391a5eee1f0d,iOS,,,
1660869957734,"NativeCore 2022.7.13; iOS 15.6; iPhone iPhone14,3",log,,iOS,,,GPS Failed: The operation couldn’t be completed. (kCLErrorDomain error 1.)
1660869958233,,open_page,,,assess,,
