timestamp,user_agent,type,device_token,device_type,page,activity,message
1660481741047,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone13,4",login,de021987b5d9e0037c0424e61ec19372bffa8bc44d1b3caa80ec2354ee13577a,iOS,,,
1660481741350,,open_page,,,assess,,
1660481745936,,open_page,,,assess,,
1660481767441,,open_page,,,assess,nhzeg7x4hfezsck16fgw,
1660481768000,,open_page,,,assess,,
1660481846187,,open_page,,,assess,dn4650dh6vp51k367499,
1660481846659,,open_page,,,assess,,
1660481869450,,open_page,,,assess,5zjg4qn1cv4gbsrnxkf3,
1660481870004,,open_page,,,assess,,
1660481921498,,open_page,,,assess,bz9tfh3a7ndmw1h3spye,
1660481922041,,open_page,,,assess,,
1660482003284,,open_page,,,assess,kszhdrwzxcta3k6j4c01,
1660482003769,,open_page,,,assess,,
1660482012030,,open_page,,,assess,,
1660482014302,,open_page,,,learn,,
1660482017587,,open_page,,,portal,,
1660482032667,,open_page,,,,,
1660503613570,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone13,4",login,de021987b5d9e0037c0424e61ec19372bffa8bc44d1b3caa80ec2354ee13577a,iOS,,,
1660503613908,,open_page,,,assess,,
1660503632217,,open_page,,,assess,5zjg4qn1cv4gbsrnxkf3,
1660503632757,,open_page,,,assess,,
1660503640013,,open_page,,,,,
1660503688671,,open_page,,,assess,,
1660503719490,,open_page,,,,,
1660503721785,,open_page,,,assess,,
1660503734107,,open_page,,,,,
1660503782421,,open_page,,,assess,,
1660503793426,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone13,4",login,de021987b5d9e0037c0424e61ec19372bffa8bc44d1b3caa80ec2354ee13577a,iOS,,,
1660503793939,,open_page,,,assess,,
1660503794167,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone13,4",log,,iOS,,,GPS Failed: The operation couldn’t be completed. (kCLErrorDomain error 1.)
