timestamp,user_agent,type,device_token,device_type,page,activity,value
1666418030686,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1666418032295,,open_page,,,assess,,
1666421340121,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",lowpowermode,,iOS,,,1.0
1666432115138,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",lowpowermode,,iOS,,,0.0
1666459547872,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1666459550573,,open_page,,,assess,,
1666460474214,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1666460476518,,open_page,,,assess,,
1666460552031,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1666460553738,,open_page,,,assess,,
1666460783896,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,,
1666460786101,,open_page,,,assess,,
